20:22:04 [INFO] Opening target process: csgo.exe
20:22:04 [INFO] Starting signature scanning: 57 items
20:22:04 [INFO] Found signature: dwClientState => 0x589FCC
20:22:04 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
20:22:04 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
20:22:04 [INFO] Found signature: dwClientState_Map => 0x28C
20:22:04 [INFO] Found signature: dwClientState_MapDirectory => 0x188
20:22:04 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
20:22:04 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
20:22:04 [INFO] Found signature: dwClientState_State => 0x108
20:22:04 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
20:22:04 [INFO] Found signature: clientstate_delta_ticks => 0x174
20:22:04 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
20:22:04 [INFO] Found signature: clientstate_choked_commands => 0x4D30
20:22:04 [INFO] Found signature: clientstate_net_channel => 0x9C
20:22:04 [INFO] Found signature: dwEntityList => 0x4DC179C
20:22:04 [INFO] Found signature: dwForceAttack => 0x31F1CB4
20:22:04 [INFO] Found signature: dwForceAttack2 => 0x31F1CC0
20:22:04 [INFO] Found signature: dwForceBackward => 0x31F1CFC
20:22:04 [INFO] Found signature: dwForceForward => 0x31F1D08
20:22:04 [INFO] Found signature: dwForceJump => 0x526B5B0
20:22:04 [INFO] Found signature: dwForceLeft => 0x31F1D20
20:22:04 [INFO] Found signature: dwForceRight => 0x31F1D14
20:22:04 [INFO] Found signature: dwGameDir => 0x628700
20:22:04 [INFO] Found signature: dwGameRulesProxy => 0x52DE88C
20:22:04 [INFO] Found signature: dwGetAllClasses => 0xDCFAB4
20:22:04 [INFO] Found signature: dwGlobalVars => 0x589CD0
20:22:04 [INFO] Found signature: dwGlowObjectManager => 0x5309C78
20:22:04 [INFO] Found signature: dwInput => 0x5212D60
20:22:04 [INFO] Found signature: dwInterfaceLinkList => 0x957AA4
20:22:04 [INFO] Found signature: dwLocalPlayer => 0xDA747C
20:22:04 [INFO] Found signature: dwMouseEnable => 0xDACFC8
20:22:04 [INFO] Found signature: dwMouseEnablePtr => 0xDACF98
20:22:04 [INFO] Found signature: dwPlayerResource => 0x31F0040
20:22:04 [INFO] Found signature: dwRadarBase => 0x51F6514
20:22:04 [INFO] Found signature: dwSensitivity => 0xDACE64
20:22:04 [INFO] Found signature: dwSensitivityPtr => 0xDACE38
20:22:04 [INFO] Found signature: dwSetClanTag => 0x8A290
20:22:04 [INFO] Found signature: dwViewMatrix => 0x4DB30B4
20:22:04 [INFO] Found signature: dwWeaponTable => 0x5213824
20:22:04 [INFO] Found signature: dwWeaponTableIndex => 0x326C
20:22:04 [INFO] Found signature: dwYawPtr => 0xDACC28
20:22:04 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDB1EC8
20:22:04 [INFO] Found signature: dwbSendPackets => 0xD9342
20:22:04 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
20:22:04 [INFO] Found signature: m_pStudioHdr => 0x2950
20:22:04 [INFO] Found signature: m_yawClassPtr => 0xDACC28
20:22:04 [INFO] Found signature: m_pitchClassPtr => 0x51F67B0
20:22:04 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
20:22:04 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
20:22:04 [INFO] Found signature: m_bDormant => 0xED
20:22:04 [INFO] Found signature: model_ambient_min => 0x58D044
20:22:04 [INFO] Found signature: set_abs_angles => 0x1E3F70
20:22:04 [INFO] Found signature: set_abs_origin => 0x1E3DB0
20:22:04 [INFO] Found signature: is_c4_owner => 0x3C1090
20:22:04 [INFO] Found signature: force_update_spectator_glow => 0x3B412A
